2026-03-03 11:28:19,328 INFO  [http-nio-0.0.0.0-8181-exec-1] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-002 ip=0:0:0:0:0:0:0:1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
2026-03-03 11:44:08,041 INFO  [http-nio-0.0.0.0-8181-exec-10] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=0:0:0:0:0:0:0:1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
2026-03-03 11:47:06,693 INFO  [http-nio-0.0.0.0-8181-exec-1] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=0:0:0:0:0:0:0:1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
2026-03-03 11:47:12,600 INFO  [http-nio-0.0.0.0-8181-exec-2] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=0:0:0:0:0:0:0:1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
2026-03-03 11:47:12,803 WARN  [http-nio-0.0.0.0-8181-exec-3] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=0:0:0:0:0:0:0:1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params= status=429 TOO_MANY_REQUESTS
2026-03-03 11:47:14,640 INFO  [http-nio-0.0.0.0-8181-exec-4] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
2026-03-03 11:47:17,087 INFO  [http-nio-0.0.0.0-8181-exec-5] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
2026-03-03 11:47:22,575 INFO  [http-nio-0.0.0.0-8181-exec-6] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=127.0.0.1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
2026-03-03 11:48:59,954 INFO  [http-nio-0.0.0.0-8181-exec-4] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=0:0:0:0:0:0:0:1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
2026-03-03 12:02:23,398 INFO  [http-nio-0.0.0.0-8181-exec-1] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=0:0:0:0:0:0:0:1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
2026-03-03 12:04:17,438 INFO  [http-nio-0.0.0.0-8181-exec-8] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=0:0:0:0:0:0:0:1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
2026-03-03 12:05:13,524 INFO  [http-nio-0.0.0.0-8181-exec-10] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=0:0:0:0:0:0:0:1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
2026-03-03 12:05:13,839 WARN  [http-nio-0.0.0.0-8181-exec-1] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=0:0:0:0:0:0:0:1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params= status=429 TOO_MANY_REQUESTS
2026-03-03 12:05:42,338 INFO  [http-nio-0.0.0.0-8181-exec-1] app.common.aop.ApiAuditAspect - [AUDIT] PUT /api/specimen/SP-001 ip=0:0:0:0:0:0:0:1 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 params=
